Thread 1 Task 0x0000027e17b12100 Total snapshots: 27182. Utilization: 99%
 Count  Overhead File                    Line Function
    61         0 @Base\array.jl           728 _collect(cont::UnitRange{Int64}, …
   289         0 @Base\array.jl           729 _collect(cont::UnitRange{Int64}, …
     1         0 @Base\array.jl           305 _copyto_impl!
   496         0 @Base\array.jl           308 _copyto_impl!
     7         7 @Base\array.jl          1212 _deleteat!(a::Vector{SubString{St…
     1         0 @Base\array.jl          1217 _deleteat!(a::Vector{SubString{St…
    15         0 @Base\array.jl          1220 _deleteat!(a::Vector{SubString{St…
     4         0 @Base\array.jl          1221 _deleteat!(a::Vector{SubString{St…
     2         2 @Base\array.jl          1186 _deletebeg!(a::Vector{SubString{S…
     1         0 @Base\array.jl          1190 _deletebeg!(a::Vector{SubString{S…
     1         1 @Base\array.jl          1196 _deletebeg!(a::Vector{SubString{S…
     1         1 @Base\array.jl             ? _getindex
    59         1 @Base\array.jl          1116 _growend!
    13         0 @Base\array.jl           666 _similar_for
     2         0 @Base\array.jl           668 _similar_for
     1         0 @Base\array.jl          3094 _wrap
    50         0 @Base\array.jl          1058 array_new_memory
   514         1 @Base\array.jl           716 collect
     2         0 @Base\array.jl           716 collect(itr::Tuple{Float64, Float…
     8         8 @Base\array.jl           784 collect(itr::Base.Generator{Vecto…
    21         0 @Base\array.jl           796 collect(itr::Base.Generator{Base.…
     1         1 @Base\array.jl           351 copy
   497         0 @Base\array.jl           299 copyto!
     7         0 @Base\array.jl           322 copyto!
    27         0 @Base\array.jl          1784 deleteat!
     8         0 @Base\array.jl           329 fill!
     2         0 @Base\array.jl           330 fill!
     1         1 @Base\array.jl             ? filter!(f::Base.Fix2{typeof(!=), …
     5         5 @Base\array.jl          2918 filter!(f::Base.Fix2{typeof(!=), …
    11         0 @Base\array.jl          2921 filter!(f::Base.Fix2{typeof(!=), …
     1         0 @Base\array.jl          2922 filter!(f::Base.Fix2{typeof(!=), …
     5         0 @Base\array.jl          2923 filter!(f::Base.Fix2{typeof(!=), …
     1         0 @Base\array.jl           929 getindex(::Matrix{Int64}, ::Int64…
     5         5 @Base\array.jl           930 getindex(::Matrix{Int64}, ::Int64…
     3         0 @Base\array.jl           930 getindex
     3         3 @Base\array.jl           934 getindex(A::Vector{Float64}, I::U…
     2         0 @Base\array.jl           936 getindex(A::Vector{Float64}, I::U…
    30         0 @Base\array.jl           938 getindex(A::Vector{Float64}, I::U…
    11         0 @Base\array.jl           940 getindex(A::Vector{Float64}, I::U…
     2         2 @Base\array.jl           942 getindex(A::Vector{Float64}, I::U…
     1         0 @Base\array.jl          3077 getindex
     1         0 @Base\array.jl          2220 hcat(::Vector{Float64}, ::Vector{…
    13         1 @Base\array.jl           902 iterate
     2         0 @Base\array.jl          1047 overallocation
     4         0 @Base\array.jl          1054 overallocation
     1         1 @Base\array.jl             ? preprocess_args
    59         0 @Base\array.jl          1261 push!
     2         0 @Base\array.jl          1262 push!
     3         3 @Base\array.jl          1447 resize!(a::Vector{UInt8}, nl_::In…
   263       259 @Base\array.jl           987 setindex!
     5         5 @Base\array.jl          1022 setindex!(A::Vector{Float64}, X::…
    14         0 @Base\array.jl          1028 setindex!(A::Vector{Float64}, X::…
     1         0 @Base\array.jl           367 similar(a::Vector{Float64})
     1         0 @Base\array.jl           369 similar
    19         0 @Base\array.jl           370 similar
  1425         0 @Base\array.jl           372 similar
     5         5 @Base\array.jl           194 size
    24         0 @Base\array.jl           268 unsafe_copyto!
     1         0 @Base\array.jl           283 unsafe_copyto!
    28         0 @Base\array.jl           284 unsafe_copyto!
     1         0 @Base\array.jl          3120 wrap
     8         8 @Base\array.jl          3121 wrap
     5         5 @Base\array.jl          3131 wrap
    26         0 @Base\array.jl           584 zeros
    21         1 @Base\array.jl           584 zeros(::Int64, ::Int64)
    46         0 @Base\array.jl           586 zeros
    36         0 @Base\array.jl           589 zeros
    10         0 @Base\array.jl           590 zeros
   114        10 @Base\arraymath.jl        21 *(A::Float64, B::Vector{Float64})
    17         3 @Base\arraymath.jl        24 *(A::Vector{Float64}, B::Float64)
    11        11 @Base\arraymath.jl        12 +(A::Vector{Float64}, Bs::Vector{…
     1         0 @Base\arraymath.jl        14 +(A::Vector{Float64}, Bs::Vector{…
    54         0 @Base\arraymath.jl        16 +(::Vector{Float64}, ::Vector{Flo…
     9         9 @Base\arraymath.jl         6 -(A::Vector{Float64}, B::Vector{F…
   120         0 @Base\arraymath.jl         8 -(A::Vector{Float64}, B::Vector{F…
    61         2 @Base\arraymath.jl        24 /(A::Vector{Float64}, B::Float64)
   143         0 @Base\arrayshow.jl       553 _typeinfo_implicit
   687         0 @Base\arrayshow.jl       486 show
     9         9 @Base\arrayshow.jl       514 show_vector(io::IOBuffer, v::Vect…
   687         1 @Base\arrayshow.jl       515 show_vector
   143         0 @Base\arrayshow.jl       515 show_vector(io::IOBuffer, v::Vect…
     3         0 @Base\arrayshow.jl       516 show_vector(io::IOBuffer, v::Vect…
   531         1 @Base\arrayshow.jl       530 show_vector(io::IOBuffer, v::Vect…
     4         4 @Base\arrayshow.jl       556 typeinfo_implicit(T::Any)
   143         0 @Base\arrayshow.jl       591 typeinfo_prefix
     1         1 @Base\bool.jl             35 !
     2         2 @Base\bool.jl             38 &
     3         0 @Base\bool.jl            180 *
     3         0 @Base\bool.jl            182 *
   444         0 @Base\boot.jl            578 Array
   181       172 @Base\boot.jl            579 Array
  1292         1 @Base\boot.jl            582 Array
   622         0 @Base\boot.jl            591 Array
  1273         0 @Base\boot.jl            592 Array
   307         0 @Base\boot.jl            599 Array
     3         3 @Base\boot.jl              ? GenericMemory
    17        17 @Base\boot.jl            512 GenericMemory
     3         3 @Base\boot.jl            514 GenericMemory
  1759      1759 @Base\boot.jl            516 GenericMemory
     4         4 @Base\boot.jl            618 Symbol(s::String)
    36         1 @Base\boot.jl            621 Symbol(s::String)
     4         0 @Base\boot.jl            897 UInt64
    35        35 @Base\boot.jl            614 _Symbol
     4         1 @Base\boot.jl            756 check_sign_bit
 26792         8 @Base\boot.jl            430 eval
     3         3 @Base\boot.jl            741 is_top_bit_set
     1         1 @Base\boot.jl              ? match(re::Regex, str::String, idx…
     9         9 @Base\boot.jl            522 memoryref(mem::Memory{UInt8})
     9         9 @Base\boot.jl            522 memoryref
     1         1 @Base\boot.jl            523 memoryref
     7         7 @Base\boot.jl            524 memoryref
     1         1 @Base\boot.jl              ? multiq_deletemin()
  1291         0 @Base\boot.jl            535 new_as_memoryref
     4         0 @Base\boot.jl            867 toUInt64
     2         2 @Base\broadcast.jl       178 Broadcasted
     5         3 @Base\broadcast.jl       236 _axes
     1         0 @Base\broadcast.jl       522 _bcs
     1         1 @Base\broadcast.jl       528 _bcs1
     7         0 @Base\broadcast.jl       644 _broadcast_getindex
    31         0 @Base\broadcast.jl       650 _broadcast_getindex
    84         0 @Base\broadcast.jl       651 _broadcast_getindex
    84         1 @Base\broadcast.jl       678 _broadcast_getindex_evalf
    28         0 @Base\broadcast.jl       674 _getindex
    28         0 @Base\broadcast.jl       675 _getindex
     5         0 @Base\broadcast.jl       604 _newindexer
     5         0 @Base\broadcast.jl       234 axes
   352         0 @Base\broadcast.jl       861 broadcast_preserving_zero_d
     4         4 @Base\broadcast.jl       862 broadcast_preserving_zero_d
     1         0 @Base\broadcast.jl       516 broadcast_shape
    64         5 @Base\broadcast.jl       946 broadcast_unalias
    13        13 @Base\broadcast.jl      1327 broadcasted(::typeof(*), ::Vector…
     3         0 @Base\broadcast.jl      1331 broadcasted(::typeof(*), ::Base.B…
     3         1 @Base\broadcast.jl      1333 broadcasted
     8         0 @Base\broadcast.jl       497 combine_axes
   741         1 @Base\broadcast.jl       897 copy
   438         0 @Base\broadcast.jl       925 copyto!
    74         0 @Base\broadcast.jl       969 copyto!
   361         0 @Base\broadcast.jl       972 copyto!
     5         0 @Base\broadcast.jl       645 extrude
    91         0 @Base\broadcast.jl       610 getindex
     8         0 @Base\broadcast.jl       307 instantiate
   318         0 @Base\broadcast.jl       973 macro expansion
   374         0 @Base\broadcast.jl       872 materialize
   395        15 @Base\broadcast.jl       872 materialize(bc::Base.Broadcast.Br…
     5         0 @Base\broadcast.jl       598 newindexer
    74         0 @Base\broadcast.jl       952 preprocess
    73         4 @Base\broadcast.jl       953 preprocess
    68         0 @Base\broadcast.jl       955 preprocess_args
    32         0 @Base\broadcast.jl       956 preprocess_args
     5         0 @Base\broadcast.jl       599 shapeindexer
   307         0 @Base\broadcast.jl       223 similar
   307         0 @Base\broadcast.jl       224 similar
     1         1 @Base\c.jl               145 sigatomic_begin
     1         1 @Base\c.jl               146 sigatomic_end
     2         2 @Base\c.jl                 ? uv_write(s::Base.TTY, p::Ptr{UInt…
     1         1 @Base\cartesian.jl         ? _getindex
     2         2 @Base\cartesian.jl         ? macro expansion
     2         0 @Base\cartesian.jl        62 macro expansion
    15         0 @Base\cartesian.jl        64 macro expansion
     1         1 @Base\cartesian.jl        66 macro expansion
     2         0 @Base\char.jl            213 ==
    37         0 @Base\char.jl            252 print
   200         0 @Base\client.jl           25 info_color
     6         6 @Base\client.jl           16 repl_color(key::String, default::…
   128         0 @Base\client.jl           17 repl_color(key::String, default::…
    11         0 @Base\client.jl           18 repl_color(key::String, default::…
    41         1 @Base\client.jl           19 repl_color(key::String, default::…
    14         0 @Base\client.jl           20 repl_color(key::String, default::…
     5         5 @Base\cmem.jl             56 memcmp
   536       536 @Base\cmem.jl             28 memmove
     8         8 @Base\cmem.jl             42 memset
     2         0 …sis\EscapeAnalysis.jl   636 analyze_escapes(ir::Core.Compiler…
     2         0 …sis\EscapeAnalysis.jl  1167 escape_call!(astate::Core.Compile…
     1         0 …ompiler\ssair\heap.jl    17 percolate_down!(xs::Vector{Int64}…
     1         0 …ler\ssair\inlining.jl   979 analyze_method!(match::Core.Metho…
     3         0 …ler\ssair\inlining.jl   980 analyze_method!(match::Core.Metho…
     4         0 …ler\ssair\inlining.jl  1327 handle_any_const_result!(cases::V…
     4         0 …ler\ssair\inlining.jl  1439 handle_match!(cases::Vector{Core.…
     3         0 …ler\ssair\inlining.jl   904 resolve_todo(mi::Core.MethodInsta…
     4         0 …ler\ssair\inlining.jl   947 analyze_method!
     5         0 …ler\ssair\inlining.jl  1675 assemble_inline_todo!(ir::Core.Co…
     2         0 …ler\ssair\inlining.jl   700 batch_inline!(ir::Core.Compiler.I…
     1         0 …ler\ssair\inlining.jl   722 batch_inline!(ir::Core.Compiler.I…
     1         1 …ler\ssair\inlining.jl  1388 compute_inlining_cases(info::Core…
     4         0 …ler\ssair\inlining.jl  1391 compute_inlining_cases(info::Core…
     4         0 …ler\ssair\inlining.jl  1315 handle_any_const_result!
     5         0 …ler\ssair\inlining.jl  1421 handle_call!
     4         0 …ler\ssair\inlining.jl  1428 handle_match!
     1         0 …ler\ssair\inlining.jl   446 ir_inline_item!(compact::Core.Com…
     1         0 …ler\ssair\inlining.jl   472 ir_inline_item!(compact::Core.Com…
     3         0 …ler\ssair\inlining.jl   871 resolve_todo
     1         0 …ler\ssair\inlining.jl   984 retrieve_ir_for_inlining(mi::Core…
     2         0 …ler\ssair\inlining.jl   985 retrieve_ir_for_inlining(mi::Core…
     5         0 …ler\ssair\inlining.jl    78 ssa_inlining_pass!
     3         0 …ler\ssair\inlining.jl    81 ssa_inlining_pass!
     1         0 …\compiler\ssair\ir.jl   690 #346
     1         0 …\compiler\ssair\ir.jl   690 Core.Compiler.IncrementalCompact(…
     2         0 …\compiler\ssair\ir.jl   696 Core.Compiler.IncrementalCompact(…
     1         0 …\compiler\ssair\ir.jl   699 Core.Compiler.IncrementalCompact(…
     1         0 …\compiler\ssair\ir.jl   711 Core.Compiler.IncrementalCompact(…
     4         0 …\compiler\ssair\ir.jl   724 IncrementalCompact
     1         0 …\compiler\ssair\ir.jl   217 Core.Compiler.InstructionStream(l…
     1         0 …\compiler\ssair\ir.jl   304 NewNodeStream
     1         1 …\compiler\ssair\ir.jl     ? _advance(stmt::Any, op::Int64)
     1         0 …\compiler\ssair\ir.jl   523 _useref_setindex!(stmt::Any, op::…
     1         0 …\compiler\ssair\ir.jl    38 block_for_inst
     2         0 …\compiler\ssair\ir.jl  2001 compact!
     1         0 …\compiler\ssair\ir.jl  2001 compact!(code::Core.Compiler.IRCo…
     1         0 …\compiler\ssair\ir.jl  2003 compact!(code::Core.Compiler.IRCo…
     1         0 …\compiler\ssair\ir.jl   122 compute_basic_blocks(stmts::Vecto…
     1         0 …\compiler\ssair\ir.jl  1974 finish
     1         0 …\compiler\ssair\ir.jl   578 iterate
     1         0 …\compiler\ssair\ir.jl   579 iterate
     4         0 …\compiler\ssair\ir.jl  1731 iterate
     1         1 …\compiler\ssair\ir.jl  1737 iterate_compact(compact::Core.Com…
     3         0 …\compiler\ssair\ir.jl  1809 iterate_compact(compact::Core.Com…
     3         0 …\compiler\ssair\ir.jl  1427 process_node!(compact::Core.Compi…
     1         0 …\compiler\ssair\ir.jl  1243 renumber_ssa2!(stmt::Any, ssanums…
     1         1 …\compiler\ssair\ir.jl  1249 renumber_ssa2!(stmt::Any, ssanums…
     1         0 …\compiler\ssair\ir.jl  1254 renumber_ssa2!(stmt::Any, ssanums…
     1         0 …\compiler\ssair\ir.jl   557 setindex!
     1         0 …\compiler\ssair\ir.jl  1945 simple_dce!
     1         1 …\compiler\ssair\ir.jl  1952 simple_dce!(callback::Function, c…
     1         0 …ler\ssair\irinterp.jl   326 (::Core.Compiler.var"#570#573"{No…
     1         0 …ler\ssair\irinterp.jl   294 _ir_abstract_constant_propagation…
     1         0 …ler\ssair\irinterp.jl   280 _ir_abstract_constant_propagation…
     1         0 …ler\ssair\irinterp.jl    49 abstract_call(interp::Core.Compil…
     1         0 …ler\ssair\irinterp.jl   440 ir_abstract_constant_propagation(…
     1         0 …ler\ssair\irinterp.jl   141 reprocess_instruction!(interp::Co…
     1         0 …ler\ssair\irinterp.jl   248 scan!(callback::Core.Compiler.var…
     1         0 …piler\ssair\legacy.jl    13 inflate_ir!
     1         0 …piler\ssair\legacy.jl    14 inflate_ir!
     1         0 …piler\ssair\legacy.jl    18 inflate_ir!(ci::Core.CodeInfo, sp…
     2         0 …piler\ssair\passes.jl  2020 adce_pass!(ir::Core.Compiler.IRCo…
     1         0 …piler\ssair\passes.jl  2057 adce_pass!(ir::Core.Compiler.IRCo…
     1         0 …piler\ssair\passes.jl    12 is_known_invoke_or_call(x::Any, f…
     1         0 …piler\ssair\passes.jl  1188 sroa_pass!(ir::Core.Compiler.IRCo…
     1         0 …piler\ssair\passes.jl  1331 sroa_pass!(ir::Core.Compiler.IRCo…
     1         0 …piler\ssair\passes.jl  1469 sroa_pass!(ir::Core.Compiler.IRCo…
     1         0 …ler\ssair\slot2ssa.jl   656 construct_ssa!(ci::Core.CodeInfo,…
     1         0 …ler\ssair\slot2ssa.jl   294 iterated_dominance_frontier(cfg::…
    35         0 …ractinterpretation.jl  1690 abstract_apply(interp::Core.Compi…
    37         0 …ractinterpretation.jl  2275 abstract_call(interp::Core.Compil…
     8         0 …ractinterpretation.jl  2279 abstract_call(interp::Core.Compil…
    37         0 …ractinterpretation.jl  2282 abstract_call(interp::Core.Compil…
    37         0 …ractinterpretation.jl  2423 abstract_call(interp::Core.Compil…
     2         0 …ractinterpretation.jl  1820 abstract_call_builtin(interp::Cor…
     1         0 …ractinterpretation.jl    25 abstract_call_gf_by_type(interp::…
     1         1 …ractinterpretation.jl    32 abstract_call_gf_by_type(interp::…
    36         0 …ractinterpretation.jl   102 abstract_call_gf_by_type(interp::…
     8         0 …ractinterpretation.jl   111 abstract_call_gf_by_type(interp::…
     1         0 …ractinterpretation.jl   117 abstract_call_gf_by_type(interp::…
     1         0 …ractinterpretation.jl   188 abstract_call_gf_by_type(interp::…
    35         0 …ractinterpretation.jl  2102 abstract_call_known(interp::Core.…
     2         0 …ractinterpretation.jl  2114 abstract_call_known(interp::Core.…
     1         0 …ractinterpretation.jl  2116 abstract_call_known(interp::Core.…
     1         0 …ractinterpretation.jl  2199 abstract_call_known(interp::Core.…
    36         0 …ractinterpretation.jl  2200 abstract_call_known(interp::Core.…
    36         0 …ractinterpretation.jl   660 abstract_call_method(interp::Core…
     8         0 …ractinterpretation.jl   823 abstract_call_method_with_const_a…
     1         0 …ractinterpretation.jl   847 abstract_call_method_with_const_a…
     7         0 …ractinterpretation.jl   853 abstract_call_method_with_const_a…
     8         0 …ractinterpretation.jl  2269 abstract_call_unknown(interp::Cor…
    29         0 …ractinterpretation.jl  3044 abstract_eval_basic_statement(int…
    36         0 …ractinterpretation.jl  3068 abstract_eval_basic_statement(int…
     1         0 …ractinterpretation.jl  2433 abstract_eval_call(interp::Core.C…
    37         0 …ractinterpretation.jl  2438 abstract_eval_call(interp::Core.C…
     1         0 …ractinterpretation.jl  2813 abstract_eval_globalref(interp::C…
     1         0 …ractinterpretation.jl  2803 abstract_eval_globalref_type
     1         0 …ractinterpretation.jl  2367 abstract_eval_special_value
    37         0 …ractinterpretation.jl  2752 abstract_eval_statement(interp::C…
    37         0 …ractinterpretation.jl  2454 abstract_eval_statement_expr(inte…
     1         0 …ractinterpretation.jl  2395 abstract_eval_value(interp::Core.…
     1         0 …ractinterpretation.jl  2405 collect_argtypes
     2         0 …ractinterpretation.jl  1255 const_prop_call(interp::Core.Comp…
     1         0 …ractinterpretation.jl  1272 const_prop_call(interp::Core.Comp…
     6         0 …ractinterpretation.jl  1278 const_prop_call(interp::Core.Comp…
     1         0 …ractinterpretation.jl   312 find_matching_methods(𝕃::Core.Com…
     1         1 …ractinterpretation.jl   403 from_interconditional(𝕃ᵢ::Core.Co…
     1         0 …ractinterpretation.jl   357 from_interprocedural!(interp::Cor…
     1         0 …ractinterpretation.jl  2800 isdefinedconst_globalref
     1         0 …ractinterpretation.jl  1219 semi_concrete_eval_call(interp::C…
    37         0 …ractinterpretation.jl  3331 typeinf_local(interp::Core.Compil…
     1         0 …ractinterpretation.jl  3366 typeinf_local(interp::Core.Compil…
    37         0 …ractinterpretation.jl  3413 typeinf_nocycle(interp::Core.Comp…
     1         0 …ractinterpretation.jl  3078 update_bbstate!
     1         0 …er\abstractlattice.jl   288 #400
     1         1 …er\abstractlattice.jl   153 ⊑
     1         0 …er\inferenceresult.jl   222 cache_lookup(𝕃::Core.Compiler.Inf…
     1         0 …er\inferenceresult.jl   228 cache_lookup(𝕃::Core.Compiler.Inf…
     1         0 …er\inferenceresult.jl    82 is_argtype_match(𝕃::Core.Compiler…
     2         0 …er\inferenceresult.jl    27 matching_cache_argtypes(𝕃::Core.C…
     2         0 …er\inferenceresult.jl   115 most_general_argtypes
     2         2 …er\inferenceresult.jl   117 most_general_argtypes(method::Met…
     1         0 …ler\inferencestate.jl   295 Core.Compiler.InferenceState(resu…
     2         0 …ler\inferencestate.jl   497 Core.Compiler.InferenceState(resu…
     1         0 …ler\inferencestate.jl   500 Core.Compiler.InferenceState(resu…
     1         0 …ler\inferencestate.jl   502 InferenceState
     1         0 …mpiler\methodtable.jl    68 #findall#309
     1         0 …mpiler\methodtable.jl   109 findall(sig::Type, table::Core.Co…
     1         0 …mpiler\methodtable.jl    95 _findall
     1         0 …mpiler\methodtable.jl    68 findall
     1         0 …mpiler\methodtable.jl   100 findall
     1         0 …\compiler\optimize.jl   421 argextype
     1         0 …\compiler\optimize.jl   422 argextype
     3         3 …\compiler\optimize.jl   425 argextype(x::Any, src::Core.Compi…
     2         0 …\compiler\optimize.jl   978 ipo_dataflow_analysis!(interp::Co…
    17         0 …\compiler\optimize.jl   983 optimize(interp::Core.Compiler.Na…
     2         0 …\compiler\optimize.jl   984 optimize(interp::Core.Compiler.Na…
     2         0 …\compiler\optimize.jl   661 refine_effects!(interp::Core.Comp…
    17         0 …\compiler\optimize.jl   994 run_passes_ipo_safe(ci::Core.Code…
    17         0 …\compiler\optimize.jl  1009 run_passes_ipo_safe
     1         0 …\compiler\optimize.jl  1219 slot2reg
     1         0 @Base\compiler\sort.jl    68 #searchsortedfirst#305
     1         0 @Base\compiler\sort.jl    84 sort!(v::Vector{Int64}; by::Core.…
     1         0 @Base\compiler\sort.jl    13 searchsortedfirst
     1         0 @Base\compiler\sort.jl    66 searchsortedfirst
     1         0 @Base\compiler\sort.jl    68 searchsortedfirst
     1         0 @Base\compiler\sort.jl    74 sort!
     1         0 …se\compiler\tfuncs.jl  1095 _getfield_tfunc
     1         0 …se\compiler\tfuncs.jl  1102 _getfield_tfunc
     1         0 …se\compiler\tfuncs.jl  1121 _getfield_tfunc(𝕃::Core.Compiler.…
     1         0 …se\compiler\tfuncs.jl  1141 _getfield_tfunc
     1         0 …se\compiler\tfuncs.jl  1198 _getfield_tfunc(𝕃::Core.Compiler.…
     1         1 …se\compiler\tfuncs.jl  2537 builtin_effects(𝕃::Core.Compiler.…
     2         0 …se\compiler\tfuncs.jl  2744 builtin_tfunction(interp::Core.Co…
     1         0 …se\compiler\tfuncs.jl  1047 getfield_tfunc(𝕃::Core.Compiler.I…
     1         0 …se\compiler\tfuncs.jl  1316 setfield!_tfunc(𝕃::Core.Compiler.…
     1         1 …se\compiler\tfuncs.jl  2004 tuple_tfunc(𝕃::Core.Compiler.Infe…
     2         0 …compiler\typeinfer.jl   363 Core.CodeInstance(interp::Core.Co…
    37         0 …compiler\typeinfer.jl   244 _typeinf(interp::Core.Compiler.Na…
    21         0 …compiler\typeinfer.jl   249 _typeinf(interp::Core.Compiler.Na…
     2         0 …compiler\typeinfer.jl   435 cache_result!(interp::Core.Compil…
    19         0 …compiler\typeinfer.jl   265 finish_nocycle(::Core.Compiler.Na…
     2         0 …compiler\typeinfer.jl   269 finish_nocycle(::Core.Compiler.Na…
     2         2 …compiler\typeinfer.jl   394 maybe_compress_codeinfo(interp::C…
     2         0 …compiler\typeinfer.jl   408 transform_result_for_cache
    37         0 …compiler\typeinfer.jl   215 typeinf(interp::Core.Compiler.Nat…
     1         0 …compiler\typeinfer.jl   912 typeinf_edge(interp::Core.Compile…
     2         0 …compiler\typeinfer.jl   913 typeinf_edge(interp::Core.Compile…
    36         0 …compiler\typeinfer.jl   923 typeinf_edge(interp::Core.Compile…
    37         0 …compiler\typeinfer.jl  1101 typeinf_ext(interp::Core.Compiler…
    37         0 …compiler\typeinfer.jl  1135 typeinf_ext_toplevel(mi::Core.Met…
    37         0 …compiler\typeinfer.jl  1139 typeinf_ext_toplevel(interp::Core…
     1         1 …mpiler\typelattice.jl   546 is_lattice_equal
     1         0 …mpiler\typelattice.jl   397 ⊑(lattice::Core.Compiler.Inferenc…
     1         0 …mpiler\typelattice.jl   439 ⊑
     1         0 …mpiler\typelattice.jl   515 ⊑(lattice::Core.Compiler.Partials…
     1         0 …mpiler\typelattice.jl   537 ⊑(lattice::Core.Compiler.ConstsLa…
     1         0 …ase\compiler\types.jl    99 InferenceResult
     1         0 …compiler\typeutils.jl    51 argtypes_to_type(argtypes::Vector…
     1         0 …compiler\typeutils.jl   199 hasintersect
     1         1 …compiler\utilities.jl   224 #specialize_method#317
     1         0 …compiler\utilities.jl   228 #specialize_method#318
     1         0 …compiler\utilities.jl    43 anymap
     1         0 …compiler\utilities.jl   387 find_ssavalue_uses(body::Vector{A…
     2         0 …compiler\utilities.jl   143 retrieve_code_info
     1         0 …compiler\utilities.jl   212 specialize_method
     1         0 …compiler\utilities.jl   227 specialize_method
    24         0 @Base\coreio.jl            5 println
    80         0 @Base\deprecated.jl      146 #depwarn#1188
     4         4 @Base\deprecated.jl      148 _depwarn(msg::Any, funcsym::Any, …
     2         2 @Base\deprecated.jl      154 _depwarn(msg::Any, funcsym::Any, …
     4         0 @Base\deprecated.jl      155 _depwarn(msg::Any, funcsym::Any, …
    80         0 @Base\deprecated.jl      141 depwarn
     4         4 @Base\deprecated.jl      103 getindex(t::Tuple{Int64, Float64,…
    81         0 @Base\deprecated.jl      104 getindex(t::Tuple{Int64, Float64,…
   144         0 @Base\deprecated.jl      105 getindex(t::Tuple{Int64, Float64,…
     1         1 @Base\dict.jl            775 ImmutableDict
     3         0 @Base\dict.jl            122 _shorthash7
     7         7 @Base\dict.jl            502 get(h::Dict{Union{Int64, Symbol},…
    85         1 @Base\dict.jl            503 get
     2         0 @Base\dict.jl            503 get(h::Dict{Union{Int64, Symbol},…
     5         0 @Base\dict.jl            504 get
     3         3 @Base\dict.jl            828 get
     1         0 @Base\dict.jl            829 get
    48         0 @Base\dict.jl            999 get
    10         0 @Base\dict.jl           1001 get
     1         1 @Base\dict.jl           1004 get(dict::Base.PersistentDict{Bas…
